trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1_平日_14時40分_系統51111,14:43:00,14:43:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_14時40分_系統51111,14:43:00,14:43:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_14時40分_系統51111,14:44:00,14:44:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_14時40分_系統51111,14:45:00,14:45:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_14時40分_系統51111,14:55:00,14:55:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_15時20分_系統51111,15:20:00,15:20:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_15時20分_系統51111,15:21:00,15:21:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_15時20分_系統51111,15:22:00,15:22:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_15時20分_系統51111,15:23:00,15:23:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_15時20分_系統51111,15:23:00,15:23:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_15時20分_系統51111,15:24:00,15:24:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_15時20分_系統51111,15:25:00,15:25:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_15時20分_系統51111,15:35:00,15:35:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_15時40分_系統51111,15:40:00,15:40:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_15時40分_系統51111,15:41:00,15:41:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_15時40分_系統51111,15:42:00,15:42:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_15時40分_系統51111,15:43:00,15:43:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_15時40分_系統51111,15:43:00,15:43:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_15時40分_系統51111,15:44:00,15:44:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_15時40分_系統51111,15:45:00,15:45:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_15時40分_系統51111,15:55:00,15:55:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
